Training Epoch 1--- iterations: 0--- 训练集精度:  32.1%, 测试集精度:  46.4%,  测试集损失值: 1.088
Training Epoch 2--- iterations: 42--- 训练集精度:  42.9%, 测试集精度:  71.4%,  测试集损失值: 0.921
Training Epoch 3--- iterations: 84--- 训练集精度:  46.4%, 测试集精度:  75.0%,  测试集损失值: 0.597
Training Epoch 4--- iterations: 126--- 训练集精度:  50.0%, 测试集精度:  60.7%,  测试集损失值: 0.655
Training Epoch 5--- iterations: 168--- 训练集精度:  50.0%, 测试集精度:  57.1%,  测试集损失值: 0.976
Training Epoch 6--- iterations: 210--- 训练集精度:  50.0%, 测试集精度:  60.7%,  测试集损失值: 0.812
Training Epoch 7--- iterations: 252--- 训练集精度:  71.4%, 测试集精度:  89.3%,  测试集损失值: 0.549
Training Epoch 8--- iterations: 294--- 训练集精度:  57.1%, 测试集精度:  78.6%,  测试集损失值: 0.436
Training Epoch 9--- iterations: 336--- 训练集精度:  67.9%, 测试集精度:  78.6%,  测试集损失值: 0.585
Training Epoch 10--- iterations: 378--- 训练集精度:  78.6%, 测试集精度:  64.3%,  测试集损失值: 0.778
Training Epoch 11--- iterations: 420--- 训练集精度:  75.0%, 测试集精度:  67.9%,  测试集损失值: 0.547
Training Epoch 12--- iterations: 462--- 训练集精度:  60.7%, 测试集精度:  85.7%,  测试集损失值: 0.543
Training Epoch 13--- iterations: 504--- 训练集精度:  78.6%, 测试集精度:  85.7%,  测试集损失值: 0.373
Training Epoch 14--- iterations: 546--- 训练集精度:  75.0%, 测试集精度:  75.0%,  测试集损失值: 0.579
Training Epoch 15--- iterations: 588--- 训练集精度:  71.4%, 测试集精度:  60.7%,  测试集损失值: 0.736
Training Epoch 16--- iterations: 630--- 训练集精度:  71.4%, 测试集精度:  67.9%,  测试集损失值: 0.707
Training Epoch 17--- iterations: 672--- 训练集精度:  78.6%, 测试集精度:  75.0%,  测试集损失值: 0.517
Training Epoch 18--- iterations: 714--- 训练集精度:  67.9%, 测试集精度:  92.9%,  测试集损失值: 0.387
Training Epoch 19--- iterations: 756--- 训练集精度:  78.6%, 测试集精度:  71.4%,  测试集损失值: 0.494
Training Epoch 20--- iterations: 798--- 训练集精度:  78.6%, 测试集精度:  71.4%,  测试集损失值: 0.786
Training Epoch 21--- iterations: 840--- 训练集精度:  75.0%, 测试集精度:  78.6%,  测试集损失值: 0.473
